phase,question,trialNum,swatch,response,responseCoded,rt,subid,dateOfBirth,dateOfTest,age,timeOfTest,condition,englishExposure,gender,trialComments,sessionComments
practice,NA,-3,apple_1,skip,NaN,18242,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
practice,NA,-2,apple_2,skip,NaN,6409,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
practice,NA,-1,apple_3,skip,NaN,4997,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
practice,NA,0,apple_1,skip,NaN,13543,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
study,Do you think this one is an animal?,1,BI2A00043,definitely NO,-1.5,33817,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
study,Do you think this one is an animal?,2,BI2A00047,NO,NaN,10993,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
study,Do you think this one is an animal?,3,BI2A00015,NO,NaN,9578,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
study,Do you think this one is an animal?,4,BI2A00020,YES,NaN,5760,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
study,Do you think this one is an animal?,5,BI2A00033,NO,NaN,5894,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
study,Do you think this one is an animal?,6,BI2A00008,YES,NaN,4877,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
study,Do you think this one is an animal?,7,BI2A00046,NO,NaN,4048,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
study,Do you think this one is an animal?,8,BI2A00030,NO,NaN,3888,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
study,Do you think this one is an animal?,9,BI2A00028,NO,NaN,6103,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
study,Do you think this one is an animal?,10,BI2A00031,NO,NaN,6812,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
study,Do you think this one is an animal?,11,BI2A00003,YES,NaN,4727,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
study,Do you think this one is an animal?,12,BI2A00014,YES,NaN,5332,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
bonus,Do you think this one can feel happy?,13,BI2A00037,YES,NaN,11800,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
bonus,Do you think this one can remember things?,14,BI2A00006,YES,NaN,9105,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
bonus,Do you think this one has feelings?,15,BI2A00044,NO,NaN,6182,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
bonus,Do you think this one can think?,16,BI2A00046,NO,NaN,6325,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
bonus,Do you think this one can feel pain?,17,BI2A00026,YES,NaN,10247,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
bonus,Do you think this one can sense things close by?,18,BI2A00021,YES,NaN,11944,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
bonus,Do you think this one can feel hungry?,19,BI2A00028,YES,NaN,5968,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
bonus,Do you think this one can hear?,20,BI2A00011,YES,NaN,6303,k14,8/28/10,3/26/15,4.578082192,11:05,set1,,f,,
